timestamp,ax,ay,az,label
50851,-32764,19711,32764,normal
50851,-32764,18591,-11578,normal
50851,979,-2447,13692,normal
50851,568,1083,2525,normal
50851,-4330,-2433,5978,normal
50851,2141,1625,1611,normal
50851,1368,-2776,9775,normal
50851,282,1747,10246,normal
50851,314,588,15859,normal
50851,-352,408,9207,normal
50851,231,-3692,3355,normal
50851,-1115,611,3880,normal
50851,-2448,449,7927,normal
50851,2049,-125,12876,normal
50851,3197,169,8297,normal
50851,-1873,-762,10345,normal
50851,1663,746,2974,normal
50851,-2581,-2872,7614,normal
50851,189,737,1816,normal
50851,327,-220,13572,normal
50851,1101,2039,7694,normal
50851,-778,-3049,15418,normal
50851,2280,2277,4491,normal
50851,-4408,-3168,9758,normal
50851,2945,652,1236,normal
50851,714,-1008,13565,normal
50851,-441,1926,8750,normal
50851,-904,-1224,15084,normal
50851,525,-113,4852,normal
50851,-1440,-1334,8574,normal
50851,1668,609,1673,normal
50851,-270,-1196,8427,normal
50851,1010,444,5424,normal
50851,172,-529,13771,normal
50851,1362,830,8701,normal
50851,-3000,-1267,11840,normal
50851,1104,-281,3579,normal
50851,-1626,-287,10437,normal
50851,2261,-26,4989,normal
50851,-2617,-428,10625,normal
50851,3643,-161,5803,normal
50851,1381,-159,9995,normal
50851,-2794,-604,3028,normal
50851,-323,-1500,9593,normal
50851,2772,2528,7785,normal
50851,-3746,-3200,10164,normal
50851,1187,2643,7069,normal
50851,35,-2019,11282,normal
50851,2724,743,4829,normal
50851,-1246,-2687,7565,normal
50851,-614,2736,7018,normal
50851,-817,-2417,11270,normal
50851,4833,1401,7980,normal
50851,-3515,-1876,10218,normal
50851,-3062,2086,8687,normal
50851,1238,-3159,8831,normal
50851,4881,1671,6233,normal
50851,-2231,-1015,6375,normal
50851,-1546,174,7745,normal
50851,2924,-642,9919,normal
50851,-524,400,5995,normal
50851,-1599,-1232,6755,normal
50851,755,1081,7688,normal
50851,-724,-1909,9467,normal
50869,-150,1108,5472,normal
50869,628,-630,9525,normal
50869,2764,62,3547,normal
50869,-1713,-2306,7079,normal
50869,-715,1341,4971,normal
50869,894,39,13519,normal
50869,-669,-381,4812,normal
50869,-1223,-2012,9652,normal
50869,3189,3027,6034,normal
50869,-2062,-2370,10469,normal
50869,-1482,-1580,3192,normal
50869,3291,923,11732,normal
50869,149,1344,8244,normal
50869,243,-2469,11653,normal
50869,-3820,1148,6565,normal
50869,-64,225,7610,normal
50869,2270,7,-1125,normal
50869,2240,-3818,2636,normal
50869,-1417,2677,6450,normal
50869,-2979,929,11525,normal
50869,4438,-2377,6365,normal
50869,4716,375,8038,normal
50869,-7828,339,6320,normal
50869,-5200,17,8892,normal
50869,6713,-1848,7054,normal
50869,3000,590,7603,normal
50869,-3140,-180,8379,normal
50869,-22,298,14104,normal
50869,1148,-587,6626,normal
50869,922,-2002,5134,normal
50869,662,1499,4489,normal
50869,-5765,-1259,14742,normal
50869,1657,540,10767,normal
50869,1774,14,15004,normal
50869,2118,1021,4080,normal
50869,-48,-3321,5743,normal
50869,-2447,697,1396,normal
50869,328,-1494,10277,normal
50869,3110,3589,7243,normal
50869,-2293,-4762,11993,normal
50869,1114,3404,11952,normal
50869,-2246,-203,12260,normal
50869,-462,-1651,2301,normal
50869,2884,-1901,1203,normal
50869,252,692,5587,normal
50869,658,1070,11100,normal
50869,-340,-1528,15109,normal
50869,592,626,11489,normal
50869,-2676,-465,11071,normal
50869,1930,-487,4953,normal
50869,-3694,-1221,8430,normal
50869,626,1006,4322,normal
50869,3600,-2215,8795,normal
50869,1708,2693,4407,normal
50869,-1535,-3494,9019,normal
50869,2597,2543,5189,normal
50869,-4158,-3825,9325,normal
50869,-1508,2529,6730,normal
50869,1472,-1065,15890,normal
50869,195,1549,9884,normal
50869,-563,-2614,8276,normal
50869,2456,953,3077,normal
50869,-1120,-1447,5099,normal
50869,1157,-1166,4350,normal
50886,2637,1671,9546,normal
50886,-6161,-240,11622,normal
50886,2618,-726,11139,normal
50886,42,882,10053,normal
50886,-2419,-1571,5294,normal
50886,1391,-453,4415,normal
50886,1362,401,5353,normal
50886,2884,-1527,7057,normal
50886,77,1778,9498,normal
50886,-3894,-1535,9225,normal
50886,858,950,7983,normal
50886,566,-1970,6172,normal
50886,-1263,521,8368,normal
50886,-529,539,10390,normal
50886,1446,-1864,9635,normal
50886,2223,719,8584,normal
50886,1256,260,6934,normal
50886,-2087,-1398,5106,normal
50886,-1991,-372,5424,normal
50886,-373,450,5602,normal
50886,2227,-195,8162,normal
50886,1491,-924,10227,normal
50886,-3612,847,9715,normal
50886,804,-560,7422,normal
50886,6058,-959,5535,normal
50886,-3077,-823,4825,normal
50886,-4972,-100,9539,normal
50886,2173,1450,12555,normal
50886,1798,-898,9507,normal
50886,1521,-1173,5230,normal
50886,-3139,870,7715,normal
50886,-1449,-870,4483,normal
50886,4258,-963,4614,normal
50886,2936,376,4220,normal
50886,-4927,-742,12176,normal
50886,-46,1718,11622,normal
50886,-1079,-2027,12691,normal
50886,3469,1319,3563,normal
50886,-1825,-2119,6031,normal
50886,-1079,169,4447,normal
50886,1263,-780,12426,normal
50886,1726,2113,7315,normal
50886,1241,-2618,9464,normal
50886,-709,1947,4033,normal
50886,-3802,-3472,8948,normal
50886,2357,3542,6619,normal
50886,-2424,-3029,9628,normal
50886,3223,63,6990,normal
50886,1854,1325,14545,normal
50886,-2440,-612,9523,normal
50886,458,-1550,9348,normal
50886,15,-96,5100,normal
50886,-484,-422,9055,normal
50886,-336,1177,9046,normal
50886,-781,-1384,13144,normal
50886,2502,887,6329,normal
50886,-1213,-982,5652,normal
50886,1042,-1584,909,normal
50886,1999,1241,9173,normal
50886,-2485,-1099,4734,normal
50886,-825,-44,11826,normal
50886,2618,1494,8553,normal
50886,-1649,-1895,10160,normal
50886,-744,836,1235,normal
50903,1084,-2920,5913,normal
50903,780,1894,3354,normal
50903,-527,-2648,10944,normal
50903,3268,3044,9553,normal
50903,-1855,-1958,12328,normal
50903,-1420,-146,5646,normal
50903,-1070,-1310,9071,normal
50903,-6,1178,8189,normal
50903,659,-1309,8065,normal
50903,1348,226,9616,normal
50903,2514,-203,8499,normal
50903,-3625,-252,9961,normal
50903,2466,-236,3194,normal
50903,-2303,-1253,8436,normal
50903,1844,520,3770,normal
50903,-2413,-665,16034,normal
50903,882,2512,8534,normal
50903,-496,-4073,13752,normal
50903,5118,3703,323,normal
50903,-4775,-5001,9838,normal
