timestamp,ax,ay,az,label
1026597,-32764,17029,-32764,abnormal
1026597,-3957,-3632,4586,abnormal
1026597,-1247,-160,25417,abnormal
1026597,-854,-593,22966,abnormal
1026597,-167,-420,17853,abnormal
1026597,-223,-425,11212,abnormal
1026597,86,-251,4106,abnormal
1026597,937,-76,-2074,abnormal
1026597,1326,-151,-6483,abnormal
1026597,1295,-121,-8332,abnormal
1026597,796,108,-7513,abnormal
1026597,131,95,-4288,abnormal
1026597,163,-263,-134,abnormal
1026597,-11,-322,4543,abnormal
1026597,-601,-36,8320,abnormal
1026597,-469,-726,12141,abnormal
1026597,270,-619,14759,abnormal
1026597,-155,-793,16772,abnormal
1026597,-383,-445,18416,abnormal
1026597,263,-921,20500,abnormal
1026597,52,-613,21179,abnormal
1026597,-1078,-179,20798,abnormal
1026597,-779,50,19124,abnormal
1026597,44,-464,14511,abnormal
1026597,-69,-126,8345,abnormal
1026597,-99,210,1693,abnormal
1026597,1025,174,-4608,abnormal
1026597,1867,-261,-9531,abnormal
1026597,1485,-343,-11224,abnormal
1026597,780,270,-9520,abnormal
1026597,749,224,-4520,abnormal
1026597,449,-620,2455,abnormal
1026597,-685,-428,9755,abnormal
1026597,-1167,278,16659,abnormal
1026597,-515,-330,21849,abnormal
1026597,-484,-906,24010,abnormal
1026597,-943,-474,23772,abnormal
1026597,-659,-446,20798,abnormal
1026597,410,-644,16981,abnormal
1026597,429,-256,12191,abnormal
1026597,-435,-449,7250,abnormal
1026597,31,-193,2023,abnormal
1026597,705,68,-2237,abnormal
1026597,661,225,-5694,abnormal
1026597,476,-189,-7856,abnormal
1026597,599,-4,-8917,abnormal
1026597,884,103,-7570,abnormal
1026597,1115,-518,-4073,abnormal
1026597,407,-118,1056,abnormal
1026597,-430,-304,7351,abnormal
1026597,-180,-818,14018,abnormal
1026597,-338,-442,19969,abnormal
1026597,-1535,-251,24524,abnormal
1026597,-1278,-749,26646,abnormal
1026597,-8,-497,26217,abnormal
1026597,-164,-337,22514,abnormal
1026597,-904,-358,17224,abnormal
1026597,146,87,11048,abnormal
1026597,1028,-195,3744,abnormal
1026597,605,158,-3459,abnormal
1026597,215,391,-8472,abnormal
1026597,1113,504,-12035,abnormal
1026597,1480,-135,-13260,abnormal
1026597,766,214,-12007,abnormal
1026615,323,351,-8244,abnormal
1026615,1023,-289,-1544,abnormal
1026615,458,-753,6309,abnormal
1026615,-1120,64,14123,abnormal
1026615,-1082,-274,21436,abnormal
1026615,-469,-1285,26646,abnormal
1026615,-1094,-707,29237,abnormal
1026615,-1842,-225,29514,abnormal
1026615,-451,-652,26091,abnormal
1026615,524,-758,20531,abnormal
1026615,-262,-261,13369,abnormal
1026615,-543,-72,6152,abnormal
1026615,1150,93,-1270,abnormal
1026615,1216,-130,-7326,abnormal
1026615,442,107,-11719,abnormal
1026615,565,229,-12988,abnormal
1026615,1326,298,-13014,abnormal
1026615,895,-307,-9844,abnormal
1026615,347,-193,-4846,abnormal
1026615,202,-168,2236,abnormal
1026615,311,-524,9891,abnormal
1026615,-438,-718,17997,abnormal
1026615,-1195,-417,24356,abnormal
1026615,-1101,-711,28935,abnormal
1026615,-683,-911,30500,abnormal
1026615,-820,-206,29601,abnormal
1026615,-948,-466,25846,abnormal
1026615,-199,-650,19714,abnormal
1026615,601,-152,12651,abnormal
1026615,520,10,5357,abnormal
1026615,302,-304,-1353,abnormal
1026615,874,488,-6815,abnormal
1026615,1135,244,-10475,abnormal
1026615,841,38,-12442,abnormal
1026615,678,329,-11978,abnormal
1026615,577,249,-9800,abnormal
1026615,720,-257,-4903,abnormal
1026615,669,-462,946,abnormal
1026615,-190,-192,7936,abnormal
1026615,-607,-632,15427,abnormal
1026615,-383,-783,22168,abnormal
1026615,-1006,-671,26790,abnormal
1026615,-1496,-712,29207,abnormal
1026615,-892,-754,28317,abnormal
1026615,-408,-400,24293,abnormal
1026615,-508,-791,17711,abnormal
1026615,-210,-360,9286,abnormal
1026615,675,-69,811,abnormal
1026615,1145,-156,-6344,abnormal
1026615,1177,-245,-11404,abnormal
1026615,1000,530,-13559,abnormal
1026615,996,-18,-12880,abnormal
1026615,907,-150,-9390,abnormal
1026615,416,-40,-3905,abnormal
1026615,-358,-106,2472,abnormal
1026615,-41,-486,10167,abnormal
1026615,-168,-589,16782,abnormal
1026615,-817,-455,22262,abnormal
1026615,-854,-588,26176,abnormal
1026615,-307,-734,27926,abnormal
1026615,-708,-594,26883,abnormal
1026615,-800,-190,24277,abnormal
1026615,-245,-297,19418,abnormal
1026615,275,-362,13101,abnormal
1026632,258,-80,6303,abnormal
1026632,420,363,110,abnormal
1026632,1025,46,-5086,abnormal
1026632,1505,-128,-8694,abnormal
1026632,788,338,-10109,abnormal
1026632,264,310,-8957,abnormal
1026632,830,-262,-6413,abnormal
1026632,778,-220,-2064,abnormal
1026632,-416,-49,2985,abnormal
1026632,-404,-397,9124,abnormal
1026632,296,-781,15330,abnormal
1026632,-367,-821,21386,abnormal
1026632,-994,-626,26559,abnormal
1026632,-575,-862,30462,abnormal
1026632,-631,-671,31760,abnormal
1026632,-1324,-692,30480,abnormal
1026632,-1065,-271,25591,abnormal
1026632,-403,-283,17877,abnormal
1026632,44,-203,7934,abnormal
1026632,497,-1,-1662,abnormal
1026632,1100,171,-11086,abnormal
1026632,1906,231,-17499,abnormal
1026632,2114,161,-20300,abnormal
1026632,1256,108,-18466,abnormal
1026632,510,277,-13232,abnormal
1026632,269,-112,-5010,abnormal
1026632,0,-129,3813,abnormal
1026632,-913,-104,12589,abnormal
1026632,-1149,-653,19425,abnormal
1026632,-909,-784,24116,abnormal
1026632,-584,-640,26338,abnormal
1026632,-403,-833,26324,abnormal
1026632,-492,-895,24425,abnormal
1026632,-255,-409,21206,abnormal
1026632,-244,-395,16366,abnormal
1026632,-302,-310,10378,abnormal
1026632,-103,7,4395,abnormal
1026632,300,157,-1761,abnormal
1026632,981,-88,-6891,abnormal
1026632,1094,221,-10524,abnormal
1026632,890,211,-11542,abnormal
1026632,1403,-270,-9524,abnormal
1026632,1094,-437,-5046,abnormal
1026632,-337,126,1836,abnormal
1026632,-344,-243,10394,abnormal
1026632,-171,-760,18300,abnormal
1026632,-1188,-446,24392,abnormal
1026632,-1643,-216,28038,abnormal
1026632,-512,-790,28781,abnormal
