0;974;-20
0;972;-20
-1;975;-21
0;975;-19
0;974;-18
0;975;-20
-1;975;-19
0;974;-20
-1;974;-19
0;972;-18
0;973;-19
-1;973;-19
-1;973;-19
-1;975;-21
0;973;-20
0;974;-20
-1;974;-21
0;974;-19
-2;973;-19
0;976;-20
0;975;-20
0;973;-21
1;971;-20
-4;973;-20
-2;975;-20
1;973;-18
-1;973;-21
2;973;-21
1;971;-17
1;969;-16
1;970;-16
0;974;-22
-3;972;-26
2;974;-16
2;960;-17
-2;973;-15
2;967;-15
0;970;-18
2;967;-28
0;975;-19
-2;975;-18
0;970;-23
1;969;-25
7;968;-31
-11;991;-22
0;968;6
4;972;-23
0;975;-17
-3;973;-11
15;965;-25
-5;974;-22
-26;1023;14
26;950;17
-13;987;-36
-3;973;1
-4;977;-3
0;976;-9
6;969;-4
-8;979;5
-2;978;-8
-3;977;-3
0;973;-4
2;973;-9
0;970;0
-4;975;-7
0;971;-1
-6;979;-3
-5;978;-17
7;963;18
16;963;-3
-16;988;-2
-1;973;-2
0;972;16
14;966;-5
-11;984;9
6;967;18
7;972;14
34;953;11
-14;996;-1
8;968;21
32;955;15
-9;988;12
-5;988;-9
8;975;19
26;964;18
50;943;36
26;961;24
-35;1019;-14
22;966;18
13;979;7
21;981;1
8;990;20
29;981;3
58;957;35
120;912;48
50;966;35
31;978;18
8;996;6
18;980;25
46;963;23
52;960;19
36;965;26
11;988;15
34;968;17
26;972;19
32;967;21
30;968;17
11;981;15
22;972;15
24;971;7
16;974;14
25;969;13
9;980;13
26;970;12
20;971;23
20;976;6
28;968;16
21;973;3
12;980;5
26;966;14
18;971;13
17;973;8
15;973;5
19;968;7
9;980;0
5;974;7
14;970;0
5;979;0
4;975;0
7;976;-8
8;969;1
8;972;0
16;963;7
2;980;-11
8;976;-11
11;970;11
4;973;-1
4;974;7
6;971;-12
5;970;-6
0;972;-18
-17;987;-14
-4;978;-22
0;975;-17
3;971;-19
1;969;1
-1;974;-16
0;975;-35
-2;976;-21
0;973;-19
1;973;-19
6;964;-22
5;971;-24
0;972;-18
0;977;-22
-1;974;-20
